country,Country_Name,IFS,income,Area,G20,Reference currency,EU,CEMAC,WAEMU ,ECCU,HARD PEG to USD,HARD PEG TO EURO,HARD PEG TO AUS DOLLAR,HARD PEG TO STH AFR RAND,HARD PEG TO INDIAN RUPEE,HARD PEG TO...,Managed,RESERVES POLICY
Hungary,Hungary,944,EM,EUR,0,EUR,1,0,0,0,0,0,0,0,0,0,0,1
Iceland,Iceland,176,AE,EUR,0,USD,0,0,0,0,0,0,0,0,0,0,0,0
India,India,534,EM,APD,1,USD,0,0,0,0,0,0,0,0,0,0,0,1
Indonesia,Indonesia,536,EM,APD,1,USD,0,0,0,0,0,0,0,0,0,0,0,1
Iran,Iran,429,EM,MCD,0,USD,0,0,0,0,1,0,0,0,0,1,0,1
Iraq,Iraq,433,EM,MCD,0,USD,0,0,0,0,1,0,0,0,0,1,0,1
Ireland,Ireland,178,AE,EUR,0,USD,1,0,0,0,0,1,0,0,0,1,0,0
Israel,Israel,436,AE,EUR,0,USD,0,0,0,0,0,0,0,0,0,0,0,1
Italy,Italy,136,AE,EUR,1,USD,1,0,0,0,0,1,0,0,0,1,0,0
Jamaica,Jamaica,343,EM,WHD,0,USD,0,0,0,0,0,0,0,0,0,0,1,1
Japan,Japan,158,AE,APD,1,USD,0,0,0,0,0,0,0,0,0,0,0,1
Jordan,Jordan,439,EM,MCD,0,USD,0,0,0,0,1,0,0,0,0,1,0,1
Kazakhstan,Kazakhstan,916,EM,MCD,0,USD,0,0,0,0,0,0,0,0,0,0,1,1
Kenya,Kenya,664,LIC,AFR,0,USD,0,0,0,0,0,0,0,0,0,0,0,1
